facility_name(시설명),business_type(업종명),road_address(소재지도로명주소),jibun_address(소재지지번주소),latitude(위도),longitude(경도),business_status(영업상태명),has_transport_vehicle(운반용차량보유여부),has_storage_facility(저장시설보유여부),phone(전화번호),supervising_agency(관리기관명),as_of_date(데이터기준일자),provider_org_code(제공기관코드),provider_org_name(제공기관명)
세계약품,일반종합도매,"경상남도 창원시 의창구 북면 동전로110번길 8, 플래츠나인 2층 204호",경상남도 창원시 의창구 북면 감계리 56,35.30533048,128.5969404,영업,Y,N,,창원보건소,2026-01-28,5670000,경상남도 창원시
장백메디칼,일반종합도매,경상남도 창원시 의창구 북면 달천길 72,경상남도 창원시 의창구 북면 외감리 648,35.28825177,128.598872,영업,Y,Y,,창원보건소,2026-01-28,5670000,경상남도 창원시
금성약품(주),일반종합도매,"경상남도 창원시 의창구 무역로503번길 17, 대동백화점 물류센터 204호 (팔용동)",경상남도 창원시 의창구 팔용동 2-1,35.22592815,128.6349791,영업,Y,Y,,창원보건소,2026-01-28,5670000,경상남도 창원시
창인약품,일반종합도매,"경상남도 창원시 의창구 무역로503번길 17, 대동백화점 물류센터 (팔용동)",경상남도 창원시 의창구 팔용동 2-1,35.22592815,128.6349791,영업,Y,N,,창원보건소,2026-01-28,5670000,경상남도 창원시
(주)디와이메디칼,일반종합도매,"경상남도 창원시 의창구 무역로 553, 2층 (팔용동)",경상남도 창원시 의창구 팔용동 8-53,35.22775495,128.6386761,영업,Y,N,,창원보건소,2026-01-28,5670000,경상남도 창원시
인터팜(주),일반종합도매,"경상남도 창원시 의창구 무역로 547, 조은물류센터 4층 (팔용동)",경상남도 창원시 의창구 팔용동 4-53,35.22712408,128.6380845,영업,Y,N,,창원보건소,2026-01-28,5670000,경상남도 창원시
(주)이에스팜,일반종합도매,"경상남도 창원시 의창구 평산로163번길 4-12, 1층 (서상동)",경상남도 창원시 의창구 서상동 687-9,35.25725344,128.6234681,영업,Y,N,,창원보건소,2026-01-28,5670000,경상남도 창원시
중동팜 주식회사,일반종합도매,경상남도 창원시 의창구 평산로159번길 35 (서상동),경상남도 창원시 의창구 서상동 698-8,35.25560367,128.6202408,영업,Y,N,,창원보건소,2026-01-28,5670000,경상남도 창원시
청해메디칼,일반종합도매,"경상남도 창원시 의창구 평산로147번길 28-14, 101호 (서상동)",경상남도 창원시 의창구 서상동 683-5,35.25729854,128.6214092,영업,Y,N,,창원보건소,2026-01-28,5670000,경상남도 창원시
화성본초원,한약도매,"경상남도 창원시 의창구 평산로135번길 7, 1층 (서상동)",경상남도 창원시 의창구 서상동 706-8,35.25487451,128.6210272,영업,Y,Y,,창원보건소,2026-01-28,5670000,경상남도 창원시
경남산소,의료용고압가스,경상남도 창원시 의창구 팔용로371번길 13 (팔용동),경상남도 창원시 의창구 팔용동 28-4,35.25130334,128.6075155,영업,Y,Y,,창원보건소,2026-01-28,5670000,경상남도 창원시
청강메딕스,일반종합도매,"경상남도 창원시 의창구 팔용로 499, 삼진빌딩 2층 (팔용동)",경상남도 창원시 의창구 팔용동 187-11,35.25999411,128.6170147,영업,Y,N,,창원보건소,2026-01-28,5670000,경상남도 창원시
청강약품,일반종합도매,"경상남도 창원시 의창구 팔용로 499 (팔용동, 삼진빌딩2층)",경상남도 창원시 의창구 팔용동 187-11,35.25999411,128.6170386,영업,Y,N,,창원보건소,2026-01-28,5670000,경상남도 창원시
와이지 약품,일반종합도매,"경상남도 창원시 의창구 팔용로 497, 202호 (팔용동)",경상남도 창원시 의창구 팔용동 187-12,35.25991679,128.616917,영업,Y,N,,창원보건소,2026-01-28,5670000,경상남도 창원시
주안메디팜,일반종합도매,"경상남도 창원시 의창구 태복산로3번길 31-1, 가야빌딩 (도계동)",경상남도 창원시 의창구 도계동 404-5,35.25470491,128.6369154,영업,Y,N,,창원보건소,2026-01-28,5670000,경상남도 창원시
진주산소,의료용고압가스,"경상남도 창원시 의창구 차룡로 48번길 57, 가스충전소 (팔용동)",경상남도 창원시 의창구 팔용동 39-14,35.24135201,128.6332627,영업,Y,Y,,창원보건소,2026-01-28,5670000,경상남도 창원시
주식회사 에스유메디칼,일반종합도매,"경상남도 창원시 의창구 중동중앙로 47, 어반브릭스 901호 (중동)",경상남도 창원시 의창구 중동 784-1,35.25662601,128.6249983,영업,Y,N,,창원보건소,2026-01-28,5670000,경상남도 창원시
세화약품(주) 경남지점,일반종합도매,경상남도 창원시 의창구 의창대로54번길 14-16 (팔용동),경상남도 창원시 의창구 팔용동 151-7,35.25494745,128.6072101,영업,Y,Y,,창원보건소,2026-01-28,5670000,경상남도 창원시
씨앤메디칼,일반종합도매,"경상남도 창원시 의창구 의창대로282번길 9-4, 1층 (중동)",경상남도 창원시 의창구 중동 761-2,35.26030737,128.6291966,영업,Y,N,,창원보건소,2026-01-28,5670000,경상남도 창원시
에코메디칼,일반종합도매,"경상남도 창원시 의창구 의창대로210번길 14, 1층 101호 (서상동)",경상남도 창원시 의창구 서상동 651-9,35.26013169,128.6206375,영업,Y,N,,창원보건소,2026-01-28,5670000,경상남도 창원시
에스엠피㈜,일반종합도매,경상남도 창원시 의창구 의창대로116번길 2 (팔용동),경상남도 창원시 의창구 팔용동 167-2,35.2602907,128.6113318,영업,Y,N,,창원보건소,2026-01-28,5670000,경상남도 창원시
편한 약업사,한약도매,"경상남도 창원시 의창구 의안로49번길 30, 창원공설시장 B동 101호 (북동)",경상남도 창원시 의창구 북동 249-1,35.26618055,128.6206956,영업,Y,Y,,창원보건소,2026-01-28,5670000,경상남도 창원시
대형약품,일반종합도매,경상남도 창원시 의창구 남산로1번길 8 (팔용동),경상남도 창원시 의창구 팔용동 179-1,35.26052405,128.611357,영업,Y,Y,,창원보건소,2026-01-28,5670000,경상남도 창원시
(주)수메디팜,일반종합도매,"경상남도 창원시 의창구 남산로 31, 2층 (팔용동, 덕산다모아빌딩)",경상남도 창원시 의창구 팔용동 170-10,35.25878053,128.6135217,영업,Y,Y,,창원보건소,2026-01-28,5670000,경상남도 창원시
(주)제이디팜,일반종합도매,경상남도 창원시 의창구 남산로 14 (팔용동),경상남도 창원시 의창구 팔용동 165-4,35.25939835,128.6117138,영업,Y,N,,창원보건소,2026-01-28,5670000,경상남도 창원시
지엠팜,일반종합도매,"경상남도 창원시 성산구 중앙대로100번길 14, 스타타워즈오피스텔 13층 1316호 (상남동)",경상남도 창원시 성산구 상남동 76-1,35.22238275,128.6811056,영업,Y,N,,창원보건소,2026-01-28,5670000,경상남도 창원시
세한약품,일반종합도매,"경상남도 창원시 성산구 중앙대로 77, 동성올림픽타운 601호 (중앙동)",경상남도 창원시 성산구 중앙동 97-2,35.22223335,128.6777326,영업,Y,N,,창원보건소,2026-01-28,5670000,경상남도 창원시
엠알피(M.R.P.),일반종합도매,"경상남도 창원시 성산구 용지로 96, 하이페르 3층 312호 (중앙동)",경상남도 창원시 성산구 중앙동 95-1,35.22412522,128.6780557,영업,Y,N,,창원보건소,2026-01-28,5670000,경상남도 창원시
시올메디칼(주),일반종합도매,경상남도 창원시 성산구 연덕로184번길 33 (내동),경상남도 창원시 성산구 내동 456-24,35.21752515,128.669322,영업,Y,N,,창원보건소,2026-01-28,5670000,경상남도 창원시
에스비팜,일반종합도매,"경상남도 창원시 성산구 신월로 42, 토월복합상가 6층 612호 (신월동)",경상남도 창원시 성산구 신월동 68-1,35.22803385,128.6919289,영업,Y,N,,창원보건소,2026-01-28,5670000,경상남도 창원시
우수약품(주),일반종합도매,"경상남도 창원시 성산구 상남로 71, 창원코아상가 3층 311호 (상남동)",경상남도 창원시 성산구 상남동 73-4,35.22044242,128.6795415,영업,Y,Y,,창원보건소,2026-01-28,5670000,경상남도 창원시
모두약품 주식회사,일반종합도매,"경상남도 창원시 성산구 상남로 71, 창원코아상가 (상남동)",경상남도 창원시 성산구 상남동 73-4,35.22044242,128.6795415,영업,Y,N,,창원보건소,2026-01-28,5670000,경상남도 창원시
황우,한약도매,"경상남도 창원시 성산구 상남로 260, 지하층 (신월동)",경상남도 창원시 성산구 신월동 1-3,35.23404989,128.6920521,영업,Y,Y,,창원보건소,2026-01-28,5670000,경상남도 창원시
주식회사 백건,일반종합도매,"경상남도 창원시 성산구 삼정자로 7, 남천프라자 5층 501호 (성주동)",경상남도 창원시 성산구 성주동 146-4,35.19812496,128.7063872,영업,Y,Y,,창원보건소,2026-01-28,5670000,경상남도 창원시
파인팜(주),일반종합도매,"경상남도 창원시 의창구 무역로 547, 조은물류센터 2층 (팔용동)",경상남도 창원시 의창구 팔용동 4-53,35.22712408,128.6380689,영업,Y,Y,,창원보건소,2026-01-28,5670000,경상남도 창원시
계림약품,일반종합도매,"경상남도 창원시 의창구 동읍 의창대로915번길 2, 청담빌딩 3층",경상남도 창원시 의창구 동읍 용잠리 252-5,35.27934984,128.6907768,영업,Y,N,,창원보건소,2026-01-28,5670000,경상남도 창원시
진메디팜,일반종합도매,경상남도 창원시 의창구 동읍 동읍로83번길 9,경상남도 창원시 의창구 동읍 용잠리 703,35.28324613,128.6814429,영업,Y,Y,,창원보건소,2026-01-28,5670000,경상남도 창원시
(주)한중약품,일반종합도매,경상남도 창원시 의창구 동읍 동읍로 17-16,경상남도 창원시 의창구 동읍 용잠리 452-1,35.27910335,128.6822404,영업,Y,Y,,창원보건소,2026-01-28,5670000,경상남도 창원시
제이에이치팜,일반종합도매,경상남도 창원시 의창구 도계로 47 (도계동),경상남도 창원시 의창구 도계동 326-17,35.26021914,128.6371401,영업,Y,N,,창원보건소,2026-01-28,5670000,경상남도 창원시
명성당건재한약품,한약도매,경상남도 창원시 의창구 도계로 37 (도계동),경상남도 창원시 의창구 도계동 327-14,35.26082215,128.636441,영업,Y,Y,,창원보건소,2026-01-28,5670000,경상남도 창원시
경원팜,일반종합도매,경상남도 창원시 의창구 대산면 진산대로 394-23,경상남도 창원시 의창구 대산면 제동리 262-3,35.33512952,128.7105884,영업,Y,N,,창원보건소,2026-01-28,5670000,경상남도 창원시
케이에스메디팜,일반종합도매,"경상남도 창원시 의창구 대산면 진산대로 277-3, 2층","경상남도 창원시 의창구 대산면 제동리 491-3, 2층",35.32594258,128.7152376,영업,Y,N,,창원보건소,2026-01-28,5670000,경상남도 창원시
주식회사 시제이팜,일반종합도매,"경상남도 창원시 의창구 대산면 진산대로 277-3, 2동 1층 일부호",경상남도 창원시 의창구 대산면 제동리 491-3,35.32594258,128.7152376,영업,Y,N,,창원보건소,2026-01-28,5670000,경상남도 창원시
(주)경원약품,일반종합도매,"경상남도 창원시 의창구 대산면 진산대로 277-3, 2동 1층 104호",경상남도 창원시 의창구 대산면 제동리 491-3,35.32594258,128.7152376,영업,Y,N,,창원보건소,2026-01-28,5670000,경상남도 창원시
(주)엔알컴퍼니,일반종합도매,"경상남도 창원시 의창구 대산면 진산대로 277-3, 2동 103호",경상남도 창원시 의창구 대산면 제동리 491-3,35.32594258,128.7152376,영업,Y,N,,창원보건소,2026-01-28,5670000,경상남도 창원시
(주)티에스팜,일반종합도매,"경상남도 창원시 의창구 대산면 진산대로 277-3, 2동 101호",경상남도 창원시 의창구 대산면 제동리 491-3,35.32594258,128.7152376,영업,Y,N,,창원보건소,2026-01-28,5670000,경상남도 창원시
엠에스컴퍼니,일반종합도매,"경상남도 창원시 의창구 대산면 진산대로 277-3, 1동 2층 일부호",경상남도 창원시 의창구 대산면 제동리 491-3,35.32594258,128.7152376,영업,Y,N,,창원보건소,2026-01-28,5670000,경상남도 창원시
두루팜,일반종합도매,"경상남도 창원시 의창구 대산면 진산대로 277-3, 1,2동 1동1층,2동102호",경상남도 창원시 의창구 대산면 제동리 491-3,35.32594258,128.7152376,영업,Y,Y,,창원보건소,2026-01-28,5670000,경상남도 창원시
광우한약품,한약도매,경상남도 창원시 의창구 대산면 우암로99번길 56,경상남도 창원시 의창구 대산면 유등리 802-2,35.3336665,128.7324296,영업,Y,Y,,창원보건소,2026-01-28,5670000,경상남도 창원시
대원당건재한약품,한약도매,경상남도 창원시 의창구 의안로28번길 1 (소답동),경상남도 창원시 의창구 소답동 108-18,35.26405697,128.6240173,영업,Y,Y,,창원보건소,2026-01-28,5670000,경상남도 창원시
(주)오성팜,일반종합도매,"경상남도 창원시 의창구 의안로27번길 19, 3층 (중동)",경상남도 창원시 의창구 중동 607,35.2638603,128.6217999803,영업,Y,Y,,창원보건소,2026-01-28,5670000,경상남도 창원시
경남나눔한약,한약도매,"경상남도 창원시 의창구 의안로12번길 3 (소답동, 102호)","경상남도 창원시 의창구 소답동 111-3(소답동, 102호)",35.26275842,128.6242039,영업,Y,Y,,창원보건소,2026-01-28,5670000,경상남도 창원시
약산당한약품,한약도매,"경상남도 창원시 마산회원구 석전동6길 6, 약산당한약품 1층 (석전동)",경상남도 창원시 마산회원구 석전동 248-10,35.23126392,128.575830,영업,Y,Y,,마산보건소,2026-01-28,5670000,경상남도 창원시
산들초한약품,한약도매,경상남도 창원시 마산회원구 석전동6길 6 (석전동),경상남도 창원시 마산회원구 석전동 248-10,35.23126392,128.575831,영업,Y,Y,,마산보건소,2026-01-28,5670000,경상남도 창원시
명성약품,일반종합도매,"경상남도 창원시 마산회원구 석전동6길 37, 지상2층 202호 (석전동)",경상남도 창원시 마산회원구 석전동 258-7,35.22996465,128.5750931,영업,Y,N,,마산보건소,2026-01-28,5670000,경상남도 창원시
(주)대원투팜,일반종합도매,경상남도 창원시 마산회원구 삼호로 269-1 (회성동),,35.23214386,128.5651517,영업,Y,N,,마산보건소,2026-01-28,5670000,경상남도 창원시
㈜경남지오영,일반종합도매,경상남도 창원시 마산회원구 내서읍 호원로 411,,35.26798306,128.5296114,영업,Y,Y,,마산보건소,2026-01-28,5670000,경상남도 창원시
(주)보람약품,일반종합도매,경상남도 창원시 마산회원구 내서읍 호원로 385,경상남도 창원시 마산회원구 내서읍 호계리 13-2,35.26677122,128.5274318,영업,Y,N,,마산보건소,2026-01-28,5670000,경상남도 창원시
누리허브,한약도매,"경상남도 창원시 마산회원구 내서읍 중리상곡로 20, 204호 (백로아파트)",경상남도 창원시 마산회원구 내서읍 중리 1054,35.24351122,128.5051116,영업,Y,Y,,마산보건소,2026-01-28,5670000,경상남도 창원시
에이팜,일반종합도매,경상남도 창원시 마산회원구 내서읍 중리상곡로 134,경상남도 창원시 마산회원구 내서읍 중리 1036,35.25155229,128.5116096,영업,Y,N,,마산보건소,2026-01-28,5670000,경상남도 창원시
(주)복산나이스 경남지점,일반종합도매,경상남도 창원시 마산회원구 내서읍 중리공단로 211,,35.24825282,128.5164807,영업,Y,Y,,마산보건소,2026-01-28,5670000,경상남도 창원시
동아에스티(주)창원지점,일반종합도매,경상남도 창원시 마산회원구 내서읍 중리공단로 187,경상남도 창원시 마산회원구 내서읍 중리 1119-14,35.24694663,128.5141576,영업,Y,N,,마산보건소,2026-01-28,5670000,경상남도 창원시
(주)디아이팜,일반종합도매,경상남도 창원시 마산회원구 내서읍 중리공단로 105 (공단편의점),경상남도 창원시 마산회원구 내서읍 중리 1127-10,35.24074932,128.5092107,영업,Y,N,,마산보건소,2026-01-28,5670000,경상남도 창원시
동경약품,일반종합도매,"경상남도 창원시 마산회원구 내서읍 중리1길 103, 진한빌딩 지상6층",경상남도 창원시 마산회원구 내서읍 중리 1033,35.24991856,128.5099682,영업,Y,N,,마산보건소,2026-01-28,5670000,경상남도 창원시
린데코리아주식회사,의료용고압가스,"경상남도 창원시 성산구 삼동로 100-31, 프렉스에어코리아(주) (내동)","경상남도 창원시 성산구 내동 452-6, 프렉스에어코리아(주) (내동)",35.22294917,128.6564973,영업,Y,Y,,창원보건소,2026-01-28,5670000,경상남도 창원시
스마트팜,일반종합도매,"경상남도 창원시 성산구 단정로 12, 쌍둥이빌딩 602호 (상남동)",경상남도 창원시 성산구 상남동 34-3,35.22046549,128.6818388,영업,Y,N,,창원보건소,2026-01-28,5670000,경상남도 창원시
봉수당건재한약품,한약도매,경상남도 창원시 마산회원구 회원북21길 42 (회원동),,35.22049264,128.5663035,영업,Y,Y,,마산보건소,2026-01-28,5670000,경상남도 창원시
(주)대명메디컬,일반종합도매,"경상남도 창원시 마산회원구 회성남8길 137, 지상3층 312호 (회성동)",경상남도 창원시 마산회원구 회성동 129-3,35.23199703,128.556838,영업,Y,N,,마산보건소,2026-01-28,5670000,경상남도 창원시
장수약품,일반종합도매,"경상남도 창원시 마산회원구 회성남8길 137, 지상3층 303호 (회성동)",경상남도 창원시 마산회원구 회성동 129-3,35.23199703,128.556838,영업,Y,N,,마산보건소,2026-01-28,5670000,경상남도 창원시
(주)일성약품,일반종합도매,"경상남도 창원시 마산회원구 회성남8길 137, 메디로직스 3층 310호 (회성동)",경상남도 창원시 마산회원구 회성동 129-3,35.23199703,128.556838,영업,Y,N,,마산보건소,2026-01-28,5670000,경상남도 창원시
명지약품,일반종합도매,"경상남도 창원시 마산회원구 회성남8길 137, 3층 306호 (회성동)",경상남도 창원시 마산회원구 회성동 129-3,35.23199703,128.556838,영업,Y,N,,마산보건소,2026-01-28,5670000,경상남도 창원시
도경약품,일반종합도매,"경상남도 창원시 마산회원구 회성남8길 137, 3층 302호 (회성동)",경상남도 창원시 마산회원구 회성동 129-3,35.23199703,128.556838,영업,Y,N,,마산보건소,2026-01-28,5670000,경상남도 창원시
한성약품,일반종합도매,"경상남도 창원시 마산회원구 회성남8길 137, 3층 301호 (회성동)",경상남도 창원시 마산회원구 회성동 129-3,35.23199703,128.556838,영업,Y,N,,마산보건소,2026-01-28,5670000,경상남도 창원시
이산메디케어,일반종합도매,"경상남도 창원시 마산회원구 회성남8길 137, 308호 (회성동)","경상남도 창원시 마산회원구 회성동 129-3, 308호 (회성동)",35.23199703,128.556838,영업,Y,N,,마산보건소,2026-01-28,5670000,경상남도 창원시
메디로직스,일반종합도매,"경상남도 창원시 마산회원구 회성남8길 137, 1,2층 (회성동)",경상남도 창원시 마산회원구 회성동 129-3,35.23199703,128.556838,영업,Y,Y,,마산보건소,2026-01-28,5670000,경상남도 창원시
에스메디팜 주식회사,일반종합도매,경상남도 창원시 마산회원구 회성남7길 27 (회성동),경상남도 창원시 마산회원구 회성동 446-2,35.23260793,128.5572417,영업,Y,N,,마산보건소,2026-01-28,5670000,경상남도 창원시
시지팜,일반종합도매,"경상남도 창원시 마산회원구 합포로 274, 한진오피스텔 311호 (양덕동)","경상남도 창원시 마산회원구 양덕동 153-8, 한진오피스텔 311호 (양덕동)",35.22164019,128.5875528,영업,Y,N,,마산보건소,2026-01-28,5670000,경상남도 창원시
주식회사 경동팜,일반종합도매,"경상남도 창원시 마산회원구 합포로 274, 한진오피스텔 1110호 (양덕동)",경상남도 창원시 마산회원구 양덕동 153-8,35.22161705,128.5875508,영업,Y,N,,마산보건소,2026-01-28,5670000,경상남도 창원시
신안당건재한약품,한약도매,경상남도 창원시 마산회원구 합성동11길 100 (합성동),경상남도 창원시 마산회원구 합성동 322-26,35.24067653,128.5875411,영업,Y,Y,,마산보건소,2026-01-28,5670000,경상남도 창원시
덕성팜,일반종합도매,"경상남도 창원시 의창구 남산로9번길 37, 302호 (팔용동)",경상남도 창원시 의창구 팔용동 193-14,35.26126463,128.6150231,영업,Y,N,,창원보건소,2026-01-28,5670000,경상남도 창원시
(주)젠스팜,일반종합도매,경상남도 창원시 의창구 남산로9번길 37 (팔용동),경상남도 창원시 의창구 팔용동 193-14,35.26126463,128.6150231,영업,Y,Y,,창원보건소,2026-01-28,5670000,경상남도 창원시
창원우리약품,일반종합도매,"경상남도 창원시 의창구 남산로27번길 2, 성산빌딩 402호 (팔용동)",경상남도 창원시 의창구 팔용동 170-12,35.25889647,128.6132994,영업,Y,N,,창원보건소,2026-01-28,5670000,경상남도 창원시
새봄약품,일반종합도매,"경상남도 창원시 마산합포구 교방시장2길 21, 교방프라자 207호 (교방동)","경상남도 창원시 마산합포구 교방동 511, 교방프라자 207호 (교방동)",35.21671033,128.562357,영업,Y,N,,마산보건소,2026-01-28,5670000,경상남도 창원시
중앙한약품,한약도매,경상남도 창원시 마산합포구 3·15대로 248 (중앙동3가),경상남도 창원시 마산합포구 중앙동3가 4-34,35.20027778,128.5675708,영업,Y,Y,,마산보건소,2026-01-28,5670000,경상남도 창원시
드림팜,일반종합도매,"경상남도 창원시 마산합포구 3·15대로 134-1, 4층 (중앙동1가)",경상남도 창원시 마산합포구 중앙동1가 1-18,35.19087547,128.5636836,영업,Y,N,,마산보건소,2026-01-28,5670000,경상남도 창원시
디케이팜,일반종합도매,경상남도 창원시 마산회원구 내서읍 중리1길 103,,35.24991856,128.5099682,영업,Y,Y,,마산보건소,2026-01-28,5670000,경상남도 창원시
주식회사에스에이치팜,일반종합도매,"경상남도 창원시 마산회원구 내서읍 죽암로 77-13, 팔래스오피스텔 112호",경상남도 창원시 마산회원구 내서읍 중리 794-4,35.25880529,128.5091696,영업,Y,N,,마산보건소,2026-01-28,5670000,경상남도 창원시
명진약품,일반종합도매,"경상남도 창원시 마산회원구 내서읍 숲속로 20-2, 그린빌딩 2층 202호",경상남도 창원시 마산회원구 내서읍 삼계리 507-7,35.22991348,128.4968168,영업,Y,N,,마산보건소,2026-01-28,5670000,경상남도 창원시
그린메디,일반종합도매,"경상남도 창원시 마산회원구 내서읍 숲속로 13-1, 삼계숲속독서실 1층 101호",경상남도 창원시 마산회원구 내서읍 삼계리 527,35.23045591,128.4975555,영업,Y,N,,마산보건소,2026-01-28,5670000,경상남도 창원시
엠제이팜,일반종합도매,"경상남도 창원시 마산회원구 내서읍 삼계8길 31, 제상가동 2층 201호 (화성아파트)",경상남도 창원시 마산회원구 내서읍 삼계리 14,35.23325501,128.5005731,영업,Y,N,,마산보건소,2026-01-28,5670000,경상남도 창원시
이유팜주식회사,일반종합도매,"경상남도 창원시 마산회원구 내서읍 광려천남로 59, 경남로봇랜드재단 2층 216호",경상남도 창원시 마산회원구 내서읍 중리 1121-9,35.24632294,128.5112411,영업,Y,N,,마산보건소,2026-01-28,5670000,경상남도 창원시
창신에너지(주),의료용고압가스,경상남도 창원시 마산회원구 내서읍 광려천남로 135,경상남도 창원시 마산회원구 내서읍 중리 1127-35,35.24141302,128.5065761,영업,Y,Y,,마산보건소,2026-01-28,5670000,경상남도 창원시
동성약품,일반종합도매,"경상남도 창원시 마산회원구 3·15대로 874, 더 마크원 오피스텔 1304호 (구암동)",경상남도 창원시 마산회원구 구암동 78-5,35.2466921,128.5920656,영업,Y,N,,마산보건소,2026-01-28,5670000,경상남도 창원시
슈퍼케미칼,일반종합도매,"경상남도 창원시 마산합포구 회원동북로 70, 지상2층 (산호동)",경상남도 창원시 마산합포구 산호동 49-4,35.21814841,128.5800206,영업,Y,Y,,마산보건소,2026-01-28,5670000,경상남도 창원시
(주)에이치팜,일반종합도매,"경상남도 창원시 마산합포구 현동로 50, 401호 (현동)",경상남도 창원시 마산합포구 현동 371,35.15109232,128.5535471,영업,Y,N,,마산보건소,2026-01-28,5670000,경상남도 창원시
하남약품,일반종합도매,"경상남도 창원시 마산합포구 현동7길 35, 2층 202호 (현동)","경상남도 창원시 마산합포구 현동 380, 2층 202호 (현동)",35.1503475,128.5535564,영업,Y,N,,마산보건소,2026-01-28,5670000,경상남도 창원시
태하약품,일반종합도매,"경상남도 창원시 마산합포구 현동7길 28, 3층 302-1호 (현동)",경상남도 창원시 마산합포구 현동 377,35.14999218,128.5544031,영업,Y,N,,마산보건소,2026-01-28,5670000,경상남도 창원시
(주)유성팜,일반종합도매,"경상남도 창원시 마산합포구 현동4길 5, 성원빌딩 3층 306호 (현동)",경상남도 창원시 마산합포구 현동 370,35.15089596,128.5531936,영업,Y,N,,마산보건소,2026-01-28,5670000,경상남도 창원시
도성종합가스,의료용고압가스,경상남도 창원시 마산합포구 진북면 진북산업로 489 (도성산소),경상남도 창원시 마산합포구 진북면 추곡리 577-3,35.15728362,128.4746311,영업,Y,Y,,마산보건소,2026-01-28,5670000,경상남도 창원시
